Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Propane,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,,,,,
120 Mulock Dr,"Administrative offices and related facilities, including municipal council chambers",120 Mulock Dr,Newmarket,L3Y 7C5,"1,315",Square feet,40,0,"20,216",kWh,"1,815",Cubic Meter,,,"4,240.18",30.04,0,,
130 Mulock Drive,"Administrative offices and related facilities, including municipal council chambers",130 Mulock Drive,Newmarket,L3Y 7C5,"11,742",Square feet,40,0,"148,425",kWh,"28,053",Cubic Meter,,,"58,975.53",38.03,0,,
140 Mulock Dr,"Administrative offices and related facilities, including municipal council chambers",140 Mulock Dr,Newmarket,L3Y 7C5,"5,240",Square feet,40,0,"69,322",kWh,"8,837",Cubic Meter,,,"19,480.60",31.15,0,,
145 Harry Walker Pkwy,"Administrative offices and related facilities, including municipal council chambers",145 Harry Walker Pkwy,Newmarket,L3Y 7B3,"159,725",Square feet,40,0,"472,164",kWh,"45,361",Cubic Meter,,,"104,652.71",5.97,0,,Comments
80 Bales (EMS Operations Centre),Ambulance stations and associated offices and facilities,80 Bales,East Gwillumbury,L0G 1V0,"74,952",Square feet,168,0,"970,560",kWh,"103,492",Cubic Meter,,,"234,498.47",27.62,0,,
"Ansnorveldt Well No.1&2, Reservoir & Pump Stn",Facilities related to the treatment of water,19106 Dufferin St,King,L3Y 4V9,0,Square feet,168,24,"54,628",kWh,197,Cubic Meter,,,"2,557.41",0,2362.73,,
Aurora Well No. 1-4 Treatment Facility,Facilities related to the treatment of water,2 Water Well Lane,Aurora,L4G 1N9,0,Square feet,168,"2,605.90","1,282,222",kWh,,,,,"51,302.98",0,492.05,,
Aurora Well No. 5,Facilities related to the treatment of water,"256 Old Yonge St,",Aurora,L4G 6J6,0,Square feet,168,372.31,"277,425",kWh,,,,,"11,100.07",0,745.14,,
Aurora Well No. 6,Facilities related to the treatment of water,253 Earl Stewart Dr,Aurora,L4G 6V8,0,Square feet,168,545.62,"496,782",kWh,,,,,"19,876.74",0,910.49,,
Ballantrae Wells No. 1&2,Facilities related to the treatment of water,15341 McCowan Rd,Whitchurch-Stouffville,L3Y 4W1,0,Square feet,168,169.16,"117,289",kWh,,,,,"4,692.85",0,693.34,,
Bayview Operations & Storage Centre,"Storage facilities where equipment or vehicles are maintained, repaired or stored",80 Bayview Pkwy,Newmarket,L3Y 3W3,"1,370",Square feet,5,0,"38,785",kWh,,,,,"1,551.83",28.31,0,,
Bruce's Mill Cons. - Safety Village Site,Police stations and associated offices and facilities,3291 Stouffville Road,Whitchurch-Stouffville,L4A 7X5,"17,533",Square feet,50,0,"282,312",kWh,,,"73,871.00",Litre,"125,129.62",45.72,0,,
Central District Patrol Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",16042 Woodbine Avenue,Newmarket,L3Y 4W1,"12,006",Square feet,168,0,"220,813",kWh,"31,837",Cubic Meter,,,"69,026.53",46.57,0,,
Community Resource Centre-Hillcrest Mall,Police stations and associated offices and facilities,9350 Yonge Street,Richmond Hill,L4C 0C9,"8,224",Square feet,60,0,"192,225",kWh,"6,558",Cubic Meter,,,"20,089.36",31.85,0,,
EG Roads Operations Centre,"Administrative offices and related facilities, including municipal council chambers",90 Bales Drive East,East Gwillumbury,L0G 1V0,"124,903",Square feet,60,0,"1,257,139",kWh,"168,696",Cubic Meter,,,"369,240.60",24.42,0,,
